id,value
Basic Industries,NA
Basic Industries|Agricultural Chemicals,NA
Basic Industries|Agricultural Chemicals|AgroFresh Solutions Inc. Common Stock(AGFS)(0.129B),AGFS
Basic Industries|Agricultural Chemicals|American Vanguard Corporation Common Stock ($0.10 Par Value)(AVD)(0.552B),AVD
Basic Industries|Agricultural Chemicals|Bioceres Crop Solutions Corp. Ordinary Shares(BIOX)(0.343B),BIOX
Basic Industries|Agricultural Chemicals|CF Industries Holdings Inc. Common Stock(CF)(9.385B),CF
Basic Industries|Agricultural Chemicals|CVR Partners LP Common Units representing Limited Partner Interests(UAN)(0.250B),UAN
Basic Industries|Agricultural Chemicals|Calyxt Inc. Common Stock(CLXT)(0.393B),CLXT
Basic Industries|Agricultural Chemicals|China Green Agriculture Inc. Common Stock(CGA)(0.033B),CGA
Basic Industries|Agricultural Chemicals|Evogene Ltd Ordinary Shares(EVGN)(0.296B),EVGN
Basic Industries|Agricultural Chemicals|ICL Group Ltd. Ordinary Shares(ICL)(7.441B),ICL
Basic Industries|Agricultural Chemicals|Marrone Bio Innovations Inc. Common Stock(MBII)(0.388B),MBII
Basic Industries|Agricultural Chemicals|Mosaic Company (The) Common Stock(MOS)(10.482B),MOS
Basic Industries|Agricultural Chemicals|Nutrien Ltd. Common Shares(NTR)(31.645B),NTR
Basic Industries|Agricultural Chemicals|Scotts Miracle-Gro Company (The) Common Stock(SMG)(12.905B),SMG
Basic Industries|Agricultural Chemicals|SenesTech Inc. Common Stock(SNES)(0.016B),SNES
Basic Industries|Aluminum,NA
Basic Industries|Aluminum|Alcoa Corporation Common Stock(AA)(3.928B),AA
Basic Industries|Aluminum|Aluminum Corporation of China Limited American Depositary Shares(ACH)(7.204B),ACH
Basic Industries|Aluminum|Century Aluminum Company Common Stock(CENX)(1.124B),CENX
Basic Industries|Containers/Packaging,NA
Basic Industries|Containers/Packaging|Yield10 Bioscience Inc. Common Stock(YTEN)(0.083B),YTEN
Basic Industries|Electric Utilities: Central,NA
Basic Industries|Electric Utilities: Central|Covanta Holding Corporation Common Stock(CVA)(1.902B),CVA
Basic Industries|Electric Utilities: Central|The AES Corporation Common Stock(AES)(18.497B),AES
Basic Industries|Engineering & Construction,NA
Basic Industries|Engineering & Construction|APi Group Corporation Common Stock(APG)(3.545B),APG
Basic Industries|Engineering & Construction|Alberton Acquisition Corporation Ordinary Shares(ALAC)(0.055B),ALAC
Basic Industries|Engineering & Construction|Alberton Acquisition Corporation Rights exp April 26 2021(ALACR)(0.000B),ALACR
Basic Industries|Engineering & Construction|Alberton Acquisition Corporation Warrant(ALACW)(0.000B),ALACW
Basic Industries|Engineering & Construction|Ameresco Inc. Class A Common Stock(AMRC)(3.002B),AMRC
Basic Industries|Engineering & Construction|Argan Inc. Common Stock(AGX)(0.771B),AGX
Basic Industries|Engineering & Construction|Brookfield Business Partners L.P. Limited Partnership Units(BBU)(3.394B),BBU
Basic Industries|Engineering & Construction|Color Star Technology Co. Ltd. Ordinary Shares(CSCW)(0.058B),CSCW
Basic Industries|Engineering & Construction|Concrete Pumping Holdings Inc. Common Stock(BBCP)(0.372B),BBCP
Basic Industries|Engineering & Construction|Limbach Holdings Inc. Common Stock(LMB)(0.119B),LMB
Basic Industries|Engineering & Construction|Matrix Service Company Common Stock(MTRX)(0.339B),MTRX
Basic Industries|Engineering & Construction|TopBuild Corp. Common Stock(BLD)(6.919B),BLD
Basic Industries|Environmental Services,NA
Basic Industries|Environmental Services|Charah Solutions Inc. Common Stock(CHRA)(0.141B),CHRA
Basic Industries|Environmental Services|Clean Harbors Inc. Common Stock(CLH)(4.564B),CLH
Basic Industries|Environmental Services|Perma-Fix Environmental Services Inc. Common Stock(PESI)(0.086B),PESI
Basic Industries|Environmental Services|Sharps Compliance Corp. Common Stock(SMED)(0.244B),SMED
Basic Industries|Environmental Services|Stericycle Inc. Common Stock(SRCL)(6.112B),SRCL
Basic Industries|Forest Products,NA
Basic Industries|Forest Products|American Woodmark Corporation Common Stock(AMWD)(1.586B),AMWD
Basic Industries|Forest Products|Enviva Partners LP Common units representing limited partner interests(EVA)(2.067B),EVA
Basic Industries|Forest Products|Fortune Brands Home & Security Inc. Common Stock(FBHS)(11.924B),FBHS
Basic Industries|Forest Products|JELD-WEN Holding Inc. Common Stock(JELD)(2.728B),JELD
Basic Industries|Forest Products|Koppers Holdings Inc. Koppers Holdings Inc. Common Stock(KOP)(0.726B),KOP
Basic Industries|Forest Products|Louisiana-Pacific Corporation Common Stock(LPX)(4.912B),LPX
Basic Industries|Forest Products|Masonite International Corporation Ordinary Shares (Canada)(DOOR)(2.566B),DOOR
Basic Industries|Forest Products|Trex Company Inc. Common Stock(TREX)(11.851B),TREX
Basic Industries|Forest Products|UFP Industries Inc. Common Stock(UFPI)(3.633B),UFPI
Basic Industries|Forest Products|West Fraser Timber Co. Ltd Common stock(WFG)(8.464B),WFG
Basic Industries|General Bldg Contractors - Nonresidential Bldgs,NA
Basic Industries|General Bldg Contractors - Nonresidential Bldgs|Tutor Perini Corporation Common Stock(TPC)(0.889B),TPC
Basic Industries|Home Furnishings,NA
Basic Industries|Home Furnishings|CSW Industrials Inc. Common Stock(CSWI)(2.006B),CSWI
Basic Industries|Home Furnishings|H. B. Fuller Company Common Stock(FUL)(2.923B),FUL
Basic Industries|Homebuilding,NA
Basic Industries|Homebuilding|Cavco Industries Inc. Common Stock When Issued(CVCO)(1.971B),CVCO
Basic Industries|Homebuilding|Installed Building Products Inc. Common Stock(IBP)(3.564B),IBP
Basic Industries|Homebuilding|Legacy Housing Corporation Common Stock (TX)(LEGH)(0.393B),LEGH
Basic Industries|Homebuilding|Lennar Corporation Class A Common Stock(LEN)(27.009B),LEN
Basic Industries|Homebuilding|Select Interior Concepts Inc. Class A Common Stock(SIC)(0.228B),SIC
Basic Industries|Homebuilding|Skyline Champion Corporation Common Stock(SKY)(2.455B),SKY
Basic Industries|Homebuilding|Xinyuan Real Estate Co Ltd American Depositary Shares(XIN)(0.192B),XIN
Basic Industries|Major Chemicals,NA
Basic Industries|Major Chemicals|AdvanSix Inc. Common Stock(ASIX)(0.745B),ASIX
Basic Industries|Major Chemicals|Advanced Emissions Solutions Inc. Common Stock(ADES)(0.111B),ADES
Basic Industries|Major Chemicals|Aemetis Inc. Common Stock(AMTX)(0.174B),AMTX
Basic Industries|Major Chemicals|Air Products and Chemicals Inc. Common Stock(APD)(58.118B),APD
Basic Industries|Major Chemicals|Albemarle Corporation Common Stock(ALB)(16.499B),ALB
Basic Industries|Major Chemicals|Alto Ingredients Inc. Common Stock(ALTO)(0.475B),ALTO
Basic Industries|Major Chemicals|Amyris Inc. Common Stock(AMRS)(3.401B),AMRS
Basic Industries|Major Chemicals|Atotech Limited Common Shares(ATC)(3.730B),ATC
Basic Industries|Major Chemicals|Avient Corporation Common Stock(AVNT)(3.942B),AVNT
Basic Industries|Major Chemicals|Balchem Corporation Common Stock(BCPC)(3.730B),BCPC
Basic Industries|Major Chemicals|Braskem SA ADR(BAK)(4.436B),BAK
Basic Industries|Major Chemicals|CN Energy Group Inc. Ordinary Shares(CNEY)(0.108B),CNEY
Basic Industries|Major Chemicals|Cabot Corporation Common Stock(CBT)(2.749B),CBT
Basic Industries|Major Chemicals|Celanese Corporation Celanese Corporation Common Stock(CE)(15.002B),CE
Basic Industries|Major Chemicals|Chemours Company (The) Common Stock(CC)(4.105B),CC
Basic Industries|Major Chemicals|Codexis Inc. Common Stock(CDXS)(1.565B),CDXS
Basic Industries|Major Chemicals|Cyclo Therapeutics Inc. Common Stock(CYTH)(0.040B),CYTH
Basic Industries|Major Chemicals|Cyclo Therapeutics Inc. Warrant(CYTHW)(0.000B),CYTHW
Basic Industries|Major Chemicals|Danimer Scientific Inc. Common Stock(DNMR)(3.761B),DNMR
