id,value
Capital Goods,NA
Capital Goods|Aerospace,NA
Capital Goods|Aerospace|AAR Corp. Common Stock(AIR)(1.364B),AIR
Capital Goods|Aerospace|AeroVironment Inc. Common Stock(AVAV)(2.976B),AVAV
Capital Goods|Aerospace|AgEagle Aerial Systems Inc. Common Stock(UAVS)(0.527B),UAVS
Capital Goods|Aerospace|Boeing Company (The) Common Stock(BA)(121.543B),BA
Capital Goods|Aerospace|Embraer S.A. Common Stock(ERJ)(1.539B),ERJ
Capital Goods|Aerospace|Heico Corporation Common Stock(HEI)(17.323B),HEI
Capital Goods|Aerospace|Honeywell International Inc. Common Stock(HON)(141.548B),HON
Capital Goods|Aerospace|Raytheon Technologies Corporation Common Stock(RTX)(110.740B),RTX
Capital Goods|Aerospace|SIFCO Industries Inc. Common Stock(SIF)(0.053B),SIF
Capital Goods|Aerospace|TAT Technologies Ltd. Ordinary Shares(TATT)(0.056B),TATT
Capital Goods|Aerospace|Textron Inc. Common Stock(TXT)(11.222B),TXT
Capital Goods|Aerospace|Triumph Group Inc. Common Stock(TGI)(0.759B),TGI
Capital Goods|Auto Manufacturing,NA
Capital Goods|Auto Manufacturing|ArcLight Clean Transition Corp. Class A Ordinary Shares(ACTC)(0.831B),ACTC
Capital Goods|Auto Manufacturing|ArcLight Clean Transition Corp. Unit(ACTCU)(0.000B),ACTCU
Capital Goods|Auto Manufacturing|ArcLight Clean Transition Corp. Warrant(ACTCW)(0.000B),ACTCW
Capital Goods|Auto Manufacturing|Electrameccanica Vehicles Corp. Ltd. Common Stock(SOLO)(0.467B),SOLO
Capital Goods|Auto Manufacturing|Electrameccanica Vehicles Corp. Ltd. Warrants(SOLOW)(0.000B),SOLOW
Capital Goods|Auto Manufacturing|Federal Signal Corporation Common Stock(FSS)(2.131B),FSS
Capital Goods|Auto Manufacturing|Ferrari N.V. Common Shares(RACE)(49.483B),RACE
Capital Goods|Auto Manufacturing|Fisker Inc. Class A Common Stock(FSR)(5.027B),FSR
Capital Goods|Auto Manufacturing|Ford Motor Company Common Stock(F)(45.476B),F
Capital Goods|Auto Manufacturing|General Motors Company Common Stock(GM)(75.158B),GM
Capital Goods|Auto Manufacturing|GigCapital3 Inc. Common Stock(GIK)(0.383B),GIK
Capital Goods|Auto Manufacturing|Honda Motor Company Ltd. Common Stock(HMC)(49.554B),HMC
Capital Goods|Auto Manufacturing|Ideanomics Inc. Common Stock(IDEX)(1.386B),IDEX
Capital Goods|Auto Manufacturing|Kandi Technologies Group Inc Common Stock(KNDI)(0.587B),KNDI
Capital Goods|Auto Manufacturing|Li Auto Inc. American Depositary Shares(LI)(26.425B),LI
Capital Goods|Auto Manufacturing|Lordstown Motors Corp. Class A Common Stock(RIDE)(4.049B),RIDE
Capital Goods|Auto Manufacturing|NIO Inc. American depositary shares each  representing one Class A ordinary share(NIO)(84.851B),NIO
Capital Goods|Auto Manufacturing|Navistar International Corporation Common Stock(NAV)(4.391B),NAV
Capital Goods|Auto Manufacturing|Navistar International Corporation Preferred Stock(NAV^D)(nan),NAV^D
Capital Goods|Auto Manufacturing|Nikola Corporation Common Stock(NKLA)(7.820B),NKLA
Capital Goods|Auto Manufacturing|Niu Technologies American Depositary Shares(NIU)(3.265B),NIU
Capital Goods|Auto Manufacturing|Oshkosh Corporation (Holding Company)Common Stock(OSK)(6.633B),OSK
Capital Goods|Auto Manufacturing|PACCAR Inc. Common Stock(PCAR)(32.875B),PCAR
Capital Goods|Auto Manufacturing|Property Solutions Acquisition Corp. Common Stock(PSAC)(0.507B),PSAC
Capital Goods|Auto Manufacturing|Property Solutions Acquisition Corp. Unit(PSACU)(0.000B),PSACU
Capital Goods|Auto Manufacturing|Property Solutions Acquisition Corp. Warrant(PSACW)(0.000B),PSACW
Capital Goods|Auto Manufacturing|REV Group Inc. Common Stock(REVG)(0.749B),REVG
Capital Goods|Auto Manufacturing|Tata Motors Ltd Tata Motors Limited(TTM)(16.747B),TTM
Capital Goods|Auto Manufacturing|Tesla Inc. Common Stock(TSLA)(755.769B),TSLA
Capital Goods|Auto Manufacturing|The Shyft Group Inc. Common Stock(SHYF)(1.142B),SHYF
Capital Goods|Auto Manufacturing|Toyota Motor Corporation Common Stock(TM)(214.520B),TM
Capital Goods|Auto Manufacturing|Workhorse Group Inc. Common Stock(WKHS)(3.763B),WKHS
Capital Goods|Auto Manufacturing|XPeng Inc. American depositary shares each representing two Class A ordinary shares(XPEV)(29.347B),XPEV
Capital Goods|Auto Parts:O.E.M.,NA
Capital Goods|Auto Parts:O.E.M.|Adient plc Ordinary Shares(ADNT)(3.329B),ADNT
Capital Goods|Auto Parts:O.E.M.|Allison Transmission Holdings Inc. Common Stock(ALSN)(4.336B),ALSN
Capital Goods|Auto Parts:O.E.M.|American Axle & Manufacturing Holdings Inc. Common Stock(AXL)(1.024B),AXL
Capital Goods|Auto Parts:O.E.M.|Apogee Enterprises Inc. Common Stock(APOG)(0.955B),APOG
Capital Goods|Auto Parts:O.E.M.|Aptiv PLC Ordinary Shares(APTV)(40.328B),APTV
Capital Goods|Auto Parts:O.E.M.|Autoliv Inc. Common Stock(ALV)(7.873B),ALV
Capital Goods|Auto Parts:O.E.M.|BorgWarner Inc. Common Stock(BWA)(10.529B),BWA
Capital Goods|Auto Parts:O.E.M.|Canoo Inc. Class A Common Stock(GOEV)(3.700B),GOEV
Capital Goods|Auto Parts:O.E.M.|Canoo Inc. Warrant(GOEVW)(0.000B),GOEVW
Capital Goods|Auto Parts:O.E.M.|China Automotive Systems Inc. Common Stock(CAAS)(0.206B),CAAS
Capital Goods|Auto Parts:O.E.M.|Commercial Vehicle Group Inc. Common Stock(CVGI)(0.279B),CVGI
