id,value
Consumer Durables,NA
Consumer Durables|Automotive Aftermarket,NA
Consumer Durables|Automotive Aftermarket|America's Car-Mart Inc Common Stock(CRMT)(0.882B),CRMT
Consumer Durables|Automotive Aftermarket|Asbury Automotive Group Inc Common Stock(ABG)(3.028B),ABG
Consumer Durables|Automotive Aftermarket|AutoNation Inc. Common Stock(AN)(6.846B),AN
Consumer Durables|Automotive Aftermarket|Camping World Holdings Inc. Class A Commom Stock(CWH)(3.252B),CWH
Consumer Durables|Automotive Aftermarket|CarLotz Inc. Class A Common Stock(LOTZ)(1.174B),LOTZ
Consumer Durables|Automotive Aftermarket|CarLotz Inc. Warrant(LOTZW)(0.000B),LOTZW
Consumer Durables|Automotive Aftermarket|CarMax Inc(KMX)(19.544B),KMX
Consumer Durables|Automotive Aftermarket|Carvana Co. Class A Common Stock(CVNA)(50.744B),CVNA
Consumer Durables|Automotive Aftermarket|Casey's General Stores Inc. Common Stock(CASY)(7.696B),CASY
Consumer Durables|Automotive Aftermarket|Cooper Tire & Rubber Company Common Stock(CTB)(2.152B),CTB
Consumer Durables|Automotive Aftermarket|Copart Inc. (DE) Common Stock(CPRT)(28.046B),CPRT
Consumer Durables|Automotive Aftermarket|Group 1 Automotive Inc. Common Stock(GPI)(2.637B),GPI
Consumer Durables|Automotive Aftermarket|IAA Inc. Common Stock(IAA)(8.015B),IAA
Consumer Durables|Automotive Aftermarket|KAR Auction Services Inc Common Stock(KAR)(1.913B),KAR
Consumer Durables|Automotive Aftermarket|Kaixin Auto Holdings Ordinary Share(KXIN)(0.270B),KXIN
Consumer Durables|Automotive Aftermarket|LMP Automotive Holdings Inc. Common Stock(LMPX)(0.209B),LMPX
Consumer Durables|Automotive Aftermarket|Lazydays Holdings Inc. Common Stock(LAZY)(0.219B),LAZY
Consumer Durables|Automotive Aftermarket|Lithia Motors Inc. Common Stock(LAD)(9.834B),LAD
Consumer Durables|Automotive Aftermarket|Murphy USA Inc. Common Stock(MUSA)(3.650B),MUSA
Consumer Durables|Automotive Aftermarket|Penske Automotive Group Inc. Common Stock(PAG)(5.109B),PAG
Consumer Durables|Automotive Aftermarket|Renren Inc. American Depositary Shares each representing fifteen Class A ordinary shares(RENN)(0.190B),RENN
Consumer Durables|Automotive Aftermarket|Rush Enterprises Inc. Class B(RUSHB)(2.008B),RUSHB
Consumer Durables|Automotive Aftermarket|Rush Enterprises Inc. Common Stock Cl A(RUSHA)(2.174B),RUSHA
Consumer Durables|Automotive Aftermarket|Shift Technologies Inc. Class A Common Stock(SFT)(0.865B),SFT
Consumer Durables|Automotive Aftermarket|Sonic Automotive Inc. Common Stock(SAH)(1.656B),SAH
Consumer Durables|Automotive Aftermarket|The Goodyear Tire & Rubber Company Common Stock(GT)(3.189B),GT
Consumer Durables|Automotive Aftermarket|TravelCenters of America Inc. 8.00% Senior Notes due 2029(TANNL)(0.000B),TANNL
