id,value
Consumer Services,NA
Consumer Services|Advertising,NA
Consumer Services|Advertising|ANGI Homeservices Inc. Class A Common Stock(ANGI)(7.634B),ANGI
Consumer Services|Advertising|Clear Channel Outdoor Holdings Inc. Common Stock(CCO)(0.949B),CCO
Consumer Services|Advertising|Fluent Inc. Common Stock(FLNT)(0.596B),FLNT
Consumer Services|Advertising|IZEA Worldwide Inc. Common Stock(IZEA)(0.241B),IZEA
Consumer Services|Advertising|Insignia Systems Inc. Common Stock(ISIG)(0.014B),ISIG
Consumer Services|Advertising|Inuvo Inc.(INUV)(0.156B),INUV
Consumer Services|Advertising|National CineMedia Inc. Common Stock(NCMI)(0.358B),NCMI
Consumer Services|Advertising|Quotient Technology Inc. Common Stock(QUOT)(1.167B),QUOT
Consumer Services|Advertising|Thryv Holdings Inc. Common Stock(THRY)(0.692B),THRY
Consumer Services|Advertising|Travelzoo Common Stock(TZOO)(0.144B),TZOO
Consumer Services|Automotive Aftermarket,NA
Consumer Services|Automotive Aftermarket|Driven Brands Holdings Inc. Common Stock(DRVN)(5.139B),DRVN
Consumer Services|Automotive Aftermarket|Monro Inc. Common Stock(MNRO)(2.130B),MNRO
Consumer Services|Books,NA
Consumer Services|Books|Houghton Mifflin Harcourt Company Common Stock(HMHC)(0.783B),HMHC
Consumer Services|Books|Pearson Plc Common Stock(PSO)(7.966B),PSO
Consumer Services|Books|Scholastic Corporation Common Stock(SCHL)(0.949B),SCHL
Consumer Services|Broadcasting,NA
Consumer Services|Broadcasting|Beasley Broadcast Group Inc. Class A Common Stock(BBGI)(0.086B),BBGI
Consumer Services|Broadcasting|Cumulus Media Inc. Class A Common Stock(CMLS)(0.197B),CMLS
Consumer Services|Broadcasting|E.W. Scripps Company (The) Class A Common Stock(SSP)(1.543B),SSP
Consumer Services|Broadcasting|Entercom Communications Corp. Common Stock(ETM)(0.821B),ETM
Consumer Services|Broadcasting|Entravision Communications Corporation Common Stock(EVC)(0.290B),EVC
Consumer Services|Broadcasting|Fox Corporation Class A Common Stock(FOXA)(19.001B),FOXA
Consumer Services|Broadcasting|Fox Corporation Class B Common Stock(FOX)(18.342B),FOX
Consumer Services|Broadcasting|Gray Television Inc. Common Stock(GTN)(1.766B),GTN
Consumer Services|Broadcasting|Grupo Televisa S.A. Common Stock(TV)(4.574B),TV
Consumer Services|Broadcasting|Liberty Media Corporation Series A Liberty Braves Common Stock(BATRA)(1.455B),BATRA
Consumer Services|Broadcasting|Liberty Media Corporation Series A Liberty Formula One Common Stock(FWONA)(9.241B),FWONA
Consumer Services|Broadcasting|Liberty Media Corporation Series A Liberty SiriusXM Common Stock(LSXMA)(14.663B),LSXMA
Consumer Services|Broadcasting|Liberty Media Corporation Series B Liberty SiriusXM Common Stock(LSXMB)(15.657B),LSXMB
Consumer Services|Broadcasting|Liberty Media Corporation Series C Liberty Braves Common Stock(BATRK)(1.422B),BATRK
Consumer Services|Broadcasting|Liberty Media Corporation Series C Liberty Formula One Common Stock(FWONK)(10.317B),FWONK
Consumer Services|Broadcasting|Liberty Media Corporation Series C Liberty SiriusXM Common Stock(LSXMK)(14.401B),LSXMK
