id,value
Consumer Non-Durables,NA
Consumer Non-Durables|Apparel,NA
Consumer Non-Durables|Apparel|Canada Goose Holdings Inc. Subordinate Voting Shares(GOOS)(5.002B),GOOS
Consumer Non-Durables|Apparel|Capri Holdings Limited Ordinary Shares(CPRI)(6.682B),CPRI
Consumer Non-Durables|Apparel|Carter's Inc. Common Stock(CRI)(4.069B),CRI
Consumer Non-Durables|Apparel|Cintas Corporation Common Stock(CTAS)(35.757B),CTAS
Consumer Non-Durables|Apparel|Columbia Sportswear Company Common Stock(COLM)(6.806B),COLM
Consumer Non-Durables|Apparel|Delta Apparel Inc. Common Stock(DLA)(0.185B),DLA
Consumer Non-Durables|Apparel|Ever-Glory International Group Inc. Common Stock(EVK)(0.061B),EVK
Consumer Non-Durables|Apparel|G-III Apparel Group LTD. Common Stock(GIII)(1.373B),GIII
Consumer Non-Durables|Apparel|Gildan Activewear Inc. Class A Sub. Vot. Common Stock(GIL)(5.332B),GIL
Consumer Non-Durables|Apparel|Guess? Inc. Common Stock(GES)(1.578B),GES
Consumer Non-Durables|Apparel|J. Jill Inc. Common Stock(JILL)(0.046B),JILL
Consumer Non-Durables|Apparel|Jerash Holdings (US) Inc. Common Stock(JRSH)(0.068B),JRSH
Consumer Non-Durables|Apparel|KBS Fashion Group Limited Common Stock(KBSF)(0.013B),KBSF
Consumer Non-Durables|Apparel|Kontoor Brands Inc. Common Stock(KTB)(2.392B),KTB
Consumer Non-Durables|Apparel|Levi Strauss & Co Class A Common Stock(LEVI)(8.714B),LEVI
Consumer Non-Durables|Apparel|Naked Brand Group Limited Ordinary Shares(NAKD)(0.517B),NAKD
Consumer Non-Durables|Apparel|Oxford Industries Inc. Common Stock(OXM)(1.223B),OXM
Consumer Non-Durables|Apparel|PVH Corp. Common Stock(PVH)(6.477B),PVH
Consumer Non-Durables|Apparel|Ralph Lauren Corporation Common Stock(RL)(8.115B),RL
Consumer Non-Durables|Apparel|Sequential Brands Group Inc. Common Stock(SQBG)(0.029B),SQBG
Consumer Non-Durables|Apparel|Superior Group of Companies Inc. Common Stock(SGC)(0.391B),SGC
Consumer Non-Durables|Apparel|Tapestry Inc. Common Stock(TPR)(10.555B),TPR
Consumer Non-Durables|Apparel|Under Armour Inc. Class A Common Stock(UAA)(10.130B),UAA
Consumer Non-Durables|Apparel|Under Armour Inc. Class C Common Stock(UA)(8.416B),UA
Consumer Non-Durables|Apparel|V.F. Corporation Common Stock(VFC)(31.176B),VFC
Consumer Non-Durables|Apparel|Vera Bradley Inc. Common Stock(VRA)(0.304B),VRA
Consumer Non-Durables|Apparel|Weyco Group Inc. Common Stock(WEYS)(0.174B),WEYS
Consumer Non-Durables|Apparel|lululemon athletica inc. Common Stock(LULU)(43.902B),LULU
Consumer Non-Durables|Beverages (Production/Distribution),NA
Consumer Non-Durables|Beverages (Production/Distribution)|Ambev S.A. American Depositary Shares (Each representing 1 Common Share)(ABEV)(43.428B),ABEV
Consumer Non-Durables|Beverages (Production/Distribution)|Anheuser-Busch Inbev SA Sponsored ADR (Belgium)(BUD)(125.975B),BUD
Consumer Non-Durables|Beverages (Production/Distribution)|Boston Beer Company Inc. (The) Common Stock(SAM)(13.673B),SAM
Consumer Non-Durables|Beverages (Production/Distribution)|Celsius Holdings Inc. Common Stock(CELH)(4.262B),CELH
