id,value
Energy,NA
Energy|Coal Mining,NA
Energy|Coal Mining|Alliance Resource Partners L.P. Common Units representing Limited Partners Interests(ARLP)(0.787B),ARLP
Energy|Coal Mining|Alpha Metallurgical Resources Inc. Common Stock(AMR)(0.251B),AMR
Energy|Coal Mining|Arch Resources Inc. Class A Common Stock(ARCH)(0.748B),ARCH
Energy|Coal Mining|BHP Group PlcSponsored ADR(BBL)(158.512B),BBL
Energy|Coal Mining|CONSOL Energy Inc. Common Stock(CEIX)(0.365B),CEIX
Energy|Coal Mining|Hallador Energy Company Common Stock(HNRG)(0.056B),HNRG
Energy|Coal Mining|Natural Resource Partners LP Limited Partnership(NRP)(0.224B),NRP
Energy|Coal Mining|Peabody Energy Corporation Common Stock(BTU)(0.380B),BTU
Energy|Coal Mining|Ramaco Resources Inc. Common Stock(METC)(0.184B),METC
Energy|Coal Mining|Warrior Met Coal Inc. Common Stock(HCC)(1.115B),HCC
Energy|Consumer Electronics/Appliances,NA
Energy|Consumer Electronics/Appliances|Emerson Electric Company Common Stock(EMR)(50.631B),EMR
Energy|Consumer Electronics/Appliances|General Electric Company Common Stock(GE)(101.971B),GE
Energy|Consumer Electronics/Appliances|Otis Worldwide Corporation Common Stock(OTIS)(27.347B),OTIS
Energy|Consumer Electronics/Appliances|Peloton Interactive Inc. Class A Common Stock(PTON)(40.774B),PTON
Energy|Electric Utilities: Central,NA
Energy|Electric Utilities: Central|Atlantic Power Corporation Ordinary Shares (Canada)(AT)(0.263B),AT
Energy|Electric Utilities: Central|MGE Energy Inc(MGEE)(2.373B),MGEE
Energy|Industrial Machinery/Components,NA
Energy|Industrial Machinery/Components|BWX Technologies Inc. Common Stock(BWXT)(5.615B),BWXT
Energy|Industrial Machinery/Components|Ballard Power Systems Inc. Common Shares(BLDP)(8.511B),BLDP
Energy|Industrial Machinery/Components|Bloom Energy Corporation Class A Common Stock(BE)(5.074B),BE
Energy|Industrial Machinery/Components|Brunswick Corporation Common Stock(BC)(6.980B),BC
Energy|Industrial Machinery/Components|Capstone Turbine Corporation Common Stock(CPST)(0.104B),CPST
Energy|Industrial Machinery/Components|China Yuchai International Limited Common Stock(CYD)(0.702B),CYD
Energy|Industrial Machinery/Components|Cummins Inc. Common Stock(CMI)(35.684B),CMI
Energy|Industrial Machinery/Components|GrafTech International Ltd. Common Stock(EAF)(3.225B),EAF
Energy|Industrial Machinery/Components|Hollysys Automation Technologies Ltd. Common Shares (British Virgin Islands)(HOLI)(0.953B),HOLI
Energy|Industrial Machinery/Components|Ideal Power Inc. Common Stock(IPWR)(0.102B),IPWR
Energy|Industrial Machinery/Components|Plug Power Inc. Common Stock(PLUG)(26.859B),PLUG
Energy|Industrial Machinery/Components|TPI Composites Inc. Common Stock(TPIC)(2.401B),TPIC
Energy|Industrial Machinery/Components|Thermon Group Holdings Inc. Common Stock(THR)(0.581B),THR
Energy|Industrial Machinery/Components|Westport Fuel Systems Inc Common Shares(WPRT)(1.321B),WPRT
Energy|Industrial Machinery/Components|Woodward Inc. Common Stock(WWD)(7.101B),WWD
Energy|Integrated oil Companies,NA
Energy|Integrated oil Companies|BP Prudhoe Bay Royalty Trust Common Stock(BPT)(0.090B),BPT
Energy|Integrated oil Companies|BP p.l.c. Common Stock(BP)(76.178B),BP
Energy|Integrated oil Companies|Brooge Energy Limited Ordinary Shares(BROG)(1.144B),BROG
Energy|Integrated oil Companies|Brooge Holdings Limited Warrant expiring 12/20/2024(BROGW)(0.000B),BROGW
Energy|Integrated oil Companies|CVR Energy Inc. Common Stock(CVI)(2.127B),CVI
Energy|Integrated oil Companies|Calumet Specialty Products Partners L.P. Common Units(CLMT)(0.300B),CLMT
Energy|Integrated oil Companies|Chevron Corporation Common Stock(CVX)(182.876B),CVX
Energy|Integrated oil Companies|China Petroleum & Chemical Corporation Common Stock(SNP)(66.747B),SNP
Energy|Integrated oil Companies|ConocoPhillips Common Stock(COP)(64.602B),COP
Energy|Integrated oil Companies|Delek US Holdings Inc. Common Stock(DK)(1.661B),DK
Energy|Integrated oil Companies|Equinor ASA(EQNR)(57.921B),EQNR
Energy|Integrated oil Companies|Exxon Mobil Corporation Common Stock(XOM)(220.201B),XOM
Energy|Integrated oil Companies|Hess Corporation Common Stock(HES)(18.646B),HES
Energy|Integrated oil Companies|HollyFrontier Corporation Common Stock(HFC)(5.398B),HFC
Energy|Integrated oil Companies|Imperial Oil Limited Common Stock(IMO)(15.122B),IMO
Energy|Integrated oil Companies|Marathon Petroleum Corporation Common Stock(MPC)(33.326B),MPC
Energy|Integrated oil Companies|PBF Energy Inc. Class A Common Stock(PBF)(1.418B),PBF
Energy|Integrated oil Companies|Phillips 66 Common Stock(PSX)(34.966B),PSX
Energy|Integrated oil Companies|Suncor Energy  Inc. Common Stock(SU)(28.627B),SU
Energy|Integrated oil Companies|Sunoco LP Common Units representing limited partner interests(SUN)(3.043B),SUN
Energy|Integrated oil Companies|Trecora Resources Common Stock(TREC)(0.174B),TREC
Energy|Integrated oil Companies|Valero Energy Corporation Common Stock(VLO)(27.660B),VLO
Energy|Integrated oil Companies|Vertex Energy Inc Common Stock(VTNR)(0.094B),VTNR
Energy|Integrated oil Companies|YPF Sociedad Anonima Common Stock(YPF)(1.821B),YPF
Energy|Metal Fabrications,NA
Energy|Metal Fabrications|Baker Hughes Company Class A Common Stock(BKR)(23.894B),BKR
Energy|Metal Fabrications|Cactus Inc. Class A Common Stock(WHD)(2.228B),WHD
Energy|Metal Fabrications|Dril-Quip Inc. Common Stock(DRQ)(1.229B),DRQ
Energy|Metal Fabrications|Forum Energy Technologies Inc. Common Stock(FET)(0.106B),FET
Energy|Metal Fabrications|NOV Inc. Common Stock(NOV)(5.318B),NOV
Energy|Metal Fabrications|NOW Inc. Common Stock(DNOW)(1.103B),DNOW
Energy|Metal Fabrications|Newpark Resources Inc. Common Stock(NR)(0.308B),NR
Energy|Metal Fabrications|Oil States International Inc. Common Stock(OIS)(0.400B),OIS
Energy|Metal Fabrications|Profire Energy Inc. Common Stock(PFIE)(0.059B),PFIE
Energy|Metal Fabrications|Solaris Oilfield Infrastructure Inc. Class A Common Stock(SOI)(0.521B),SOI
Energy|Metal Fabrications|Superior Drilling Products Inc. Common Stock(SDPI)(0.029B),SDPI
Energy|Metal Fabrications|TechnipFMC plc Ordinary Share(FTI)(3.155B),FTI
Energy|Natural Gas Distribution,NA
Energy|Natural Gas Distribution|BP Midstream Partners LP Common Units representing Limited Partner Interests(BPMP)(1.262B),BPMP
Energy|Natural Gas Distribution|Blueknight Energy Partners L.P. Common Units(BKEP)(0.092B),BKEP
Energy|Natural Gas Distribution|Blueknight Energy Partners L.P. L.L.C. Series A Preferred Units(BKEPP)(0.000B),BKEPP
Energy|Natural Gas Distribution|Delek Logistics Partners L.P. Common Units representing Limited Partner Interests(DKL)(1.769B),DKL
Energy|Natural Gas Distribution|Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078(ENBA)(0.000B),ENBA
Energy|Natural Gas Distribution|Enbridge Inc Common Stock(ENB)(69.799B),ENB
Energy|Natural Gas Distribution|Genesis Energy L.P. Common Units(GEL)(0.852B),GEL
Energy|Natural Gas Distribution|Holly Energy Partners L.P. Common Stock(HEP)(1.620B),HEP
Energy|Natural Gas Distribution|MPLX LP Common Units Representing Limited Partner Interests(MPLX)(25.366B),MPLX
Energy|Natural Gas Distribution|Magellan Midstream Partners L.P. Limited Partnership(MMP)(9.011B),MMP
Energy|Natural Gas Distribution|Noble Midstream Partners LP Common Units Representing Limited Partner Interests(NBLX)(1.248B),NBLX
Energy|Natural Gas Distribution|Nustar Energy L.P.  Common Units(NS)(1.817B),NS
Energy|Natural Gas Distribution|PBF Logistics LP Common Units representing limited partner interests(PBFX)(0.708B),PBFX
Energy|Natural Gas Distribution|Phillips 66 Partners LP Common Units representing limited partner interest in the Partnership(PSXP)(5.937B),PSXP
Energy|Natural Gas Distribution|Plains All American Pipeline L.P. Common Units representing Limited Partner Interests(PAA)(5.959B),PAA
Energy|Natural Gas Distribution|Plains GP Holdings L.P. Class A Units representing Limited Partner Interests(PAGP)(1.553B),PAGP
Energy|Natural Gas Distribution|Shell Midstream Partners L.P. Common Units representing Limited Partner Interests(SHLX)(4.444B),SHLX
Energy|Oil & Gas Production,NA
Energy|Oil & Gas Production|Abraxas Petroleum Corporation Common Stock(AXAS)(0.032B),AXAS
Energy|Oil & Gas Production|Amplify Energy Corp. Common Stock(AMPY)(0.104B),AMPY
Energy|Oil & Gas Production|Antero Resources Corporation Common Stock(AR)(2.407B),AR
Energy|Oil & Gas Production|Apache Corporation Common Stock(APA)(6.655B),APA
Energy|Oil & Gas Production|Barnwell Industries Inc. Common Stock(BRN)(0.035B),BRN
Energy|Oil & Gas Production|Battalion Oil Corporation Common Stock(BATL)(0.194B),BATL
Energy|Oil & Gas Production|Berry Corporation (bry) Common Stock(BRY)(0.365B),BRY
Energy|Oil & Gas Production|Black Stone Minerals L.P. Common units representing limited partner interests(BSM)(1.931B),BSM
Energy|Oil & Gas Production|Bonanza Creek Energy Inc. Common Stock(BCEI)(0.556B),BCEI
Energy|Oil & Gas Production|Borr Drilling Limited Common Shares(BORR)(0.349B),BORR
Energy|Oil & Gas Production|Brigham Minerals Inc. Class A Common Stock(MNRL)(0.872B),MNRL
Energy|Oil & Gas Production|CKX Lands Inc. Common Stock(CKX)(0.021B),CKX
Energy|Oil & Gas Production|CNOOC Limited Common Stock(CEO)(57.417B),CEO
Energy|Oil & Gas Production|CNX Resources Corporation Common Stock(CNX)(3.069B),CNX
Energy|Oil & Gas Production|Cabot Oil & Gas Corporation Common Stock(COG)(7.198B),COG
Energy|Oil & Gas Production|California Resources Corporation Common Stock(CRC)(2.185B),CRC
Energy|Oil & Gas Production|Callon Petroleum Company Common Stock(CPE)(0.885B),CPE
Energy|Oil & Gas Production|Camber Energy Inc. Common Stock(CEI)(0.056B),CEI
Energy|Oil & Gas Production|Canadian Natural Resources Limited Common Stock(CNQ)(32.633B),CNQ
Energy|Oil & Gas Production|Cenovus Energy Inc Common Stock(CVE)(13.678B),CVE
Energy|Oil & Gas Production|Centennial Resource Development Inc. Class A Common Stock(CDEV)(0.960B),CDEV
Energy|Oil & Gas Production|Chesapeake Energy Corporation Class A Warrants(CHKEW)(0.000B),CHKEW
Energy|Oil & Gas Production|Chesapeake Energy Corporation Class B Warrants(CHKEZ)(0.000B),CHKEZ
Energy|Oil & Gas Production|Chesapeake Energy Corporation Class C Warrants(CHKEL)(0.000B),CHKEL
Energy|Oil & Gas Production|Chesapeake Energy Corporation Common Stock(CHK)(4.210B),CHK
Energy|Oil & Gas Production|Cimarex Energy Co Common Stock(XEC)(5.047B),XEC
Energy|Oil & Gas Production|Comstock Resources Inc. Common Stock(CRK)(1.395B),CRK
Energy|Oil & Gas Production|Contango Oil & Gas Company Common Stock (TX)(MCF)(0.870B),MCF
Energy|Oil & Gas Production|Continental Resources Inc. Common Stock(CLR)(7.969B),CLR
Energy|Oil & Gas Production|Crescent Point Energy Corporation Ordinary Shares (Canada)(CPG)(1.929B),CPG
Energy|Oil & Gas Production|Cross Timbers Royalty Trust Common Stock(CRT)(0.055B),CRT
Energy|Oil & Gas Production|Dawson Geophysical Company Common Stock(DWSN)(0.070B),DWSN
Energy|Oil & Gas Production|Denbury Inc. Common Stock(DEN)(1.909B),DEN
Energy|Oil & Gas Production|Devon Energy Corporation Common Stock(DVN)(13.826B),DVN
Energy|Oil & Gas Production|Diamondback Energy Inc. Commmon Stock(FANG)(10.292B),FANG
Energy|Oil & Gas Production|Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests(DMLP)(0.480B),DMLP
Energy|Oil & Gas Production|ENI S.p.A. Common Stock(E)(38.948B),E
Energy|Oil & Gas Production|EOG Resources Inc. Common Stock(EOG)(35.335B),EOG
Energy|Oil & Gas Production|EQT Corporation Common Stock(EQT)(5.043B),EQT
Energy|Oil & Gas Production|Earthstone Energy Inc. Class A Common Stock(ESTE)(0.525B),ESTE
Energy|Oil & Gas Production|Ecopetrol S.A. American Depositary Shares(EC)(25.122B),EC
Energy|Oil & Gas Production|Enerplus Corporation Common Stock(ERF)(0.995B),ERF
Energy|Oil & Gas Production|Epsilon Energy Ltd. Common Share(EPSN)(0.093B),EPSN
Energy|Oil & Gas Production|Evolution Petroleum Corporation Inc. Common Stock(EPM)(0.113B),EPM
Energy|Oil & Gas Production|Extraction Oil & Gas Inc. Common Stock(XOG)(0.814B),XOG
Energy|Oil & Gas Production|Falcon Minerals Corporation Class A Common Stock(FLMN)(0.355B),FLMN
Energy|Oil & Gas Production|Falcon Minerals Corporation Warrant(FLMNW)(0.000B),FLMNW
Energy|Oil & Gas Production|Geopark Ltd Common Shares(GPRK)(0.971B),GPRK
Energy|Oil & Gas Production|Goodrich Petroleum Corporation Common Stock(GDP)(0.135B),GDP
Energy|Oil & Gas Production|Gran Tierra Energy Inc. Common Stock(GTE)(0.341B),GTE
Energy|Oil & Gas Production|Helmerich & Payne Inc. Common Stock(HP)(2.826B),HP
Energy|Oil & Gas Production|Hess Midstream LP Class A Share(HESM)(0.387B),HESM
Energy|Oil & Gas Production|HighPeak Energy Inc. Common Stock(HPK)(1.187B),HPK
