id,value
Finance,NA
Finance|Accident &Health Insurance,NA
Finance|Accident &Health Insurance|AFLAC Incorporated Common Stock(AFL)(32.746B),AFL
Finance|Accident &Health Insurance|CNO Financial Group Inc. Common Stock(CNO)(3.126B),CNO
Finance|Accident &Health Insurance|Principal Financial Group Inc Common Stock(PFG)(14.559B),PFG
Finance|Accident &Health Insurance|Triple-S Management Corporation Class B Common Stock(GTS)(0.542B),GTS
Finance|Accident &Health Insurance|Unum Group 6.250% Junior Subordinated Notes due 2058(UNMA)(0.000B),UNMA
Finance|Accident &Health Insurance|Unum Group Common Stock(UNM)(5.102B),UNM
Finance|Banks,NA
Finance|Banks|1895 Bancorp of Wisconsin Inc. Common Stock(BCOW)(0.048B),BCOW
Finance|Banks|Berkshire Hills Bancorp Inc. Common Stock(BHLB)(0.954B),BHLB
Finance|Banks|Bogota Financial Corp. Common Stock(BSBK)(0.118B),BSBK
Finance|Banks|ESSA Bancorp Inc. Common Stock(ESSA)(0.166B),ESSA
Finance|Banks|FS Bancorp Inc. Common Stock(FSBW)(0.251B),FSBW
Finance|Banks|First Northwest Bancorp Common Stock(FNWB)(0.162B),FNWB
Finance|Banks|Greene County Bancorp Inc. Common Stock(GCBC)(0.205B),GCBC
Finance|Banks|Heritage Financial Corporation Common Stock(HFWA)(0.869B),HFWA
Finance|Banks|Home Bancorp Inc. Common Stock(HBCP)(0.282B),HBCP
Finance|Banks|New York Community Bancorp Inc. Common Stock(NYCB)(5.182B),NYCB
Finance|Banks|PCSB Financial Corporation Common Stock(PCSB)(0.256B),PCSB
Finance|Banks|Pioneer Bancorp Inc. Common Stock(PBFS)(0.278B),PBFS
Finance|Banks|Prudential Bancorp Inc. Common Stock(PBIP)(0.106B),PBIP
Finance|Banks|Rhinebeck Bancorp Inc. Common Stock(RBKB)(0.110B),RBKB
Finance|Banks|Southern Missouri Bancorp Inc. Common Stock(SMBC)(0.316B),SMBC
Finance|Banks|Timberland Bancorp Inc. Common Stock(TSBK)(0.225B),TSBK
Finance|Banks|WVS Financial Corp. Common Stock(WVFC)(0.028B),WVFC
Finance|Business Services,NA
Finance|Business Services|10X Capital Venture Acquisition Corp Class A Common Stock(VCVC)(0.326B),VCVC
Finance|Business Services|10X Capital Venture Acquisition Corp Unit(VCVCU)(0.000B),VCVCU
Finance|Business Services|10X Capital Venture Acquisition Corp Warrant(VCVCW)(0.000B),VCVCW
Finance|Business Services|26 Capital Acquisition Corp. Unit(ADERU)(0.000B),ADERU
Finance|Business Services|5:01 Acquisition Corp. Class A Common Stock(FVAM)(0.121B),FVAM
Finance|Business Services|7GC & Co. Holdings Inc. Class A common stock(VII)(0.294B),VII
Finance|Business Services|7GC & Co. Holdings Inc. Unit(VIIAU)(0.000B),VIIAU
Finance|Business Services|7GC & Co. Holdings Inc. Warrant(VIIAW)(0.000B),VIIAW
Finance|Business Services|890 5th Avenue Partners Inc. Unit(ENFAU)(0.000B),ENFAU
Finance|Business Services|ACON S2 Acquisition Corp. Class A Ordinary Shares(STWO)(0.335B),STWO
Finance|Business Services|ACON S2 Acquisition Corp. Unit(STWOU)(0.000B),STWOU
Finance|Business Services|ACON S2 Acquisition Corp. Warrant(STWOW)(0.000B),STWOW
Finance|Business Services|AEA-Bridges Impact Corp. Class A Ordinary Shares(IMPX)(0.563B),IMPX
Finance|Business Services|AGBA Acquisition Limited Ordinary Share(AGBA)(0.063B),AGBA
Finance|Business Services|AGBA Acquisition Limited Right(AGBAR)(0.000B),AGBAR
Finance|Business Services|AGBA Acquisition Limited Warrant(AGBAW)(0.000B),AGBAW
Finance|Business Services|ARYA Sciences Acquisition Corp III Class A Ordinary Shares(ARYA)(0.340B),ARYA
Finance|Business Services|Acies Acquisition Corp. Class A Ordinary Share(ACAC)(0.290B),ACAC
Finance|Business Services|Acies Acquisition Corp. Unit(ACACU)(0.000B),ACACU
Finance|Business Services|Acies Acquisition Corp. Warrant(ACACW)(0.000B),ACACW
Finance|Business Services|Ackrell SPAC Partners I Co. Subunits(ACKIT)(0.000B),ACKIT
Finance|Business Services|Ackrell SPAC Partners I Co. Units(ACKIU)(0.000B),ACKIU
Finance|Business Services|Ackrell SPAC Partners I Co. Warrants(ACKIW)(0.000B),ACKIW
Finance|Business Services|Aequi Acquisition Corp. Class A Common Stock(ARBG)(0.298B),ARBG
Finance|Business Services|Aequi Acquisition Corp. Unit(ARBGU)(0.000B),ARBGU
Finance|Business Services|Aequi Acquisition Corp. warrants(ARBGW)(0.000B),ARBGW
Finance|Business Services|Ajax I Class A Ordinary Shares(AJAX)(1.145B),AJAX
Finance|Business Services|Alpha Healthcare Acquisition Corp. Class A Common Stock(AHAC)(0.162B),AHAC
Finance|Business Services|Alpha Healthcare Acquisition Corp. Unit(AHACU)(0.000B),AHACU
Finance|Business Services|Alpha Healthcare Acquisition Corp. Warrant(AHACW)(0.000B),AHACW
Finance|Business Services|Altimeter Growth Corp. 2 Class A Ordinary Shares(AGCB)(0.741B),AGCB
Finance|Business Services|Altimeter Growth Corp. Class A Ordinary Shares(AGC)(0.875B),AGC
Finance|Business Services|Altimeter Growth Corp. Unit(AGCUU)(0.000B),AGCUU
Finance|Business Services|Altimeter Growth Corp. Warrant(AGCWW)(0.000B),AGCWW
Finance|Business Services|Altitude Acquisition Corp. Class A Common Stock(ALTU)(0.000B),ALTU
Finance|Business Services|Altitude Acquisition Corp. Unit(ALTUU)(0.000B),ALTUU
Finance|Business Services|Altitude Acquisition Corp. Warrant(ALTUW)(0.000B),ALTUW
Finance|Business Services|Alussa Energy Acquisition Corp. Class A Ordinary Shares(ALUS)(0.456B),ALUS
Finance|Business Services|Americas Technology Acquisition Corp. Ordinary Shares(ATA)(0.000B),ATA
Finance|Business Services|Amplitude Healthcare Acquisition Corporation Class A Common Stock(AMHC)(0.131B),AMHC
