id,value
Health Care,NA
Health Care|Biotechnology: Biological Products (No Diagnostic Substances),NA
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|4D Molecular Therapeutics Inc. Common Stock(FDMT)(1.138B),FDMT
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|ADMA Biologics Inc Common Stock(ADMA)(0.250B),ADMA
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|AIM ImmunoTech Inc. Common Stock(AIM)(0.099B),AIM
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|AVROBIO Inc. Common Stock(AVRO)(0.480B),AVRO
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Abcam plc American Depositary Shares(ABCM)(5.509B),ABCM
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Acceleron Pharma Inc. Common Stock(XLRN)(7.783B),XLRN
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Acorda Therapeutics Inc. Common Stock(ACOR)(0.065B),ACOR
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Adaptimmune Therapeutics plc American Depositary Shares(ADAP)(0.926B),ADAP
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Adaptive Biotechnologies Corporation Common Stock(ADPT)(8.384B),ADPT
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Adverum Biotechnologies Inc. Common Stock(ADVM)(1.252B),ADVM
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Aerie Pharmaceuticals Inc. Common Stock(AERI)(0.764B),AERI
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Agenus Inc. Common Stock(AGEN)(0.840B),AGEN
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Alector Inc. Common Stock(ALEC)(1.385B),ALEC
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Aligos Therapeutics Inc. Common Stock(ALGS)(1.116B),ALGS
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Allena Pharmaceuticals Inc. Common Stock(ALNA)(0.097B),ALNA
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|AlloVir Inc. Common Stock(ALVR)(2.594B),ALVR
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Allogene Therapeutics Inc. Common Stock(ALLO)(4.810B),ALLO
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Amgen Inc. Common Stock(AMGN)(134.302B),AMGN
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Applied Genetic Technologies Corporation Common Stock(AGTC)(0.312B),AGTC
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Aptose Biosciences Inc. Common Shares(APTO)(0.373B),APTO
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Armata Pharmaceuticals Inc. Common Stock(ARMP)(0.127B),ARMP
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Atara Biotherapeutics Inc. Common Stock(ATRA)(1.477B),ATRA
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Athira Pharma Inc. Common Stock(ATHA)(0.772B),ATHA
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Autolus Therapeutics plc American Depositary Share(AUTL)(0.372B),AUTL
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Axcella Health Inc. Common Stock(AXLA)(0.227B),AXLA
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Ayala Pharmaceuticals Inc. Common Stock(AYLA)(0.231B),AYLA
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Aziyo Biologics Inc. Class A Common Stock(AZYO)(0.160B),AZYO
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Beam Therapeutics Inc. Common Stock(BEAM)(6.035B),BEAM
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Bio-Techne Corp Common Stock(TECH)(15.406B),TECH
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|BioAtla Inc. Common Stock(BCAB)(1.887B),BCAB
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|BioCardia Inc. Common Stock(BCDA)(0.064B),BCDA
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|BioCardia Inc. Warrant(BCDAW)(0.000B),BCDAW
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|BioCryst Pharmaceuticals Inc. Common Stock(BCRX)(1.907B),BCRX
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|BioNTech SE American Depositary Share(BNTX)(27.124B),BNTX
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Biogen Inc. Common Stock(BIIB)(42.029B),BIIB
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|BiomX Inc. COmmon Stock(PHGE)(0.188B),PHGE
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|BiondVax Pharmaceuticals Ltd. American Depositary Shares(BVXV)(0.068B),BVXV
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Black Diamond Therapeutics Inc. Common Stock(BDTX)(1.035B),BDTX
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Brainstorm Cell Therapeutics Inc. Common Stock(BCLI)(0.236B),BCLI
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Brickell Biotech Inc. Common Stock(BBI)(0.079B),BBI
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|C4 Therapeutics Inc. Common Stock(CCCC)(1.838B),CCCC
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|CASI Pharmaceuticals Inc. Common Stock(CASI)(0.346B),CASI
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|CRISPR Therapeutics AG Common Shares(CRSP)(11.019B),CRSP
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Cabaletta Bio Inc. Common Stock(CABA)(0.274B),CABA
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Cardiff Oncology Inc. Common Stock(CRDF)(0.414B),CRDF
Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|Cel-Sci Corporation Common Stock(CVM)(0.785B),CVM
