id,value
Miscellaneous,NA
Miscellaneous|Business Services,NA
Miscellaneous|Business Services|36Kr Holdings Inc. American Depositary Shares(KRKR)(0.188B),KRKR
Miscellaneous|Business Services|ALJ Regional Holdings Inc. Common Stock(ALJJ)(0.072B),ALJJ
Miscellaneous|Business Services|Accenture plc Class A Ordinary Shares (Ireland)(ACN)(170.464B),ACN
Miscellaneous|Business Services|Advantage Solutions Inc. Class A Common Stock(ADV)(3.150B),ADV
Miscellaneous|Business Services|Advantage Solutions Inc. Warrant(ADVWW)(0.000B),ADVWW
Miscellaneous|Business Services|Affirm Holdings Inc. Class A Common Stock(AFRM)(26.011B),AFRM
Miscellaneous|Business Services|Akamai Technologies Inc. Common Stock(AKAM)(16.251B),AKAM
Miscellaneous|Business Services|Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share(BABA)(717.483B),BABA
Miscellaneous|Business Services|Alliance Data Systems Corporation Common Stock(ADS)(4.153B),ADS
Miscellaneous|Business Services|American Well Corporation Class A Common Stock(AMWL)(7.082B),AMWL
Miscellaneous|Business Services|B. Riley Financial Inc. 6.00% Senior Notes Due 2028(RILYT)(0.000B),RILYT
Miscellaneous|Business Services|B. Riley Financial Inc. 6.375% Senior Notes due 2025(RILYM)(0.000B),RILYM
Miscellaneous|Business Services|B. Riley Financial Inc. 6.50% Senior Notes Due 2026(RILYN)(0.000B),RILYN
Miscellaneous|Business Services|B. Riley Financial Inc. 6.75% Senior Notes due 2024(RILYO)(0.000B),RILYO
Miscellaneous|Business Services|B. Riley Financial Inc. 6.875% Senior Notes due 2023(RILYI)(0.000B),RILYI
Miscellaneous|Business Services|B. Riley Financial Inc. 7.25% Senior Notes due 2027(RILYG)(0.000B),RILYG
Miscellaneous|Business Services|B. Riley Financial Inc. 7.375% Senior Notes due 2023(RILYH)(0.000B),RILYH
Miscellaneous|Business Services|B. Riley Financial Inc. 7.50% Senior Notes Due 2027(RILYZ)(0.000B),RILYZ
Miscellaneous|Business Services|B. Riley Financial Inc. Common Stock(RILY)(1.415B),RILY
Miscellaneous|Business Services|B. Riley Financial Inc. Depositary Shares each representing 1/1000th in a share of 7.375% Series B Cumulative Perpetual Preferred Stock par value $0.0001(RILYL)(0.000B),RILYL
Miscellaneous|Business Services|B. Riley Financial Inc. Depositary Shares each representing a 1/1000th fractional interest in a share of Series A Cumulative Perpetual Preferred Stock(RILYP)(0.000B),RILYP
Miscellaneous|Business Services|BSQUARE Corporation Common Stock(BSQR)(0.090B),BSQR
Miscellaneous|Business Services|Baosheng Media Group Holdings Limited Ordinary shares(BAOS)(0.188B),BAOS
Miscellaneous|Business Services|Broadridge Financial Solutions Inc.Common Stock(BR)(17.286B),BR
Miscellaneous|Business Services|CBIZ Inc. Common Stock(CBZ)(1.629B),CBZ
Miscellaneous|Business Services|CDK Global Inc. Common Stock(CDK)(6.042B),CDK
