id,value
Public Utilities,NA
Public Utilities|Electric Utilities: Central,NA
Public Utilities|Electric Utilities: Central|Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079(AQNB)(0.000B),AQNB
Public Utilities|Electric Utilities: Central|Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078(AQNA)(0.000B),AQNA
Public Utilities|Electric Utilities: Central|Algonquin Power & Utilities Corp. Common Shares(AQN)(10.353B),AQN
Public Utilities|Electric Utilities: Central|American Electric Power Company Inc. Common Stock(AEP)(39.949B),AEP
Public Utilities|Electric Utilities: Central|American Electric Power Company Inc. Corporate Unit(AEPPL)(0.000B),AEPPL
Public Utilities|Electric Utilities: Central|American Electric Power Company Inc. Corporate Units(AEPPZ)(0.000B),AEPPZ
Public Utilities|Electric Utilities: Central|Atlantica Sustainable Infrastructure plc Ordinary Shares(AY)(4.186B),AY
Public Utilities|Electric Utilities: Central|Avangrid Inc. Common Stock(AGR)(14.035B),AGR
Public Utilities|Electric Utilities: Central|Azure Power Global Limited Equity Shares(AZRE)(1.576B),AZRE
Public Utilities|Electric Utilities: Central|Black Hills Corporation Common Stock(BKH)(3.841B),BKH
Public Utilities|Electric Utilities: Central|Brookfield Renewable Corporation Class A Subordinate Voting Shares(BEPC)(8.304B),BEPC
Public Utilities|Electric Utilities: Central|Brookfield Renewable Partners L.P.(BEP)(12.489B),BEP
Public Utilities|Electric Utilities: Central|CenterPoint Energy Inc (Holding Co) Common Stock(CNP)(11.877B),CNP
Public Utilities|Electric Utilities: Central|Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share)(EBR)(8.457B),EBR
Public Utilities|Electric Utilities: Central|Central Puerto S.A. American Depositary Shares (each represents ten Common Shares)(CEPU)(0.354B),CEPU
Public Utilities|Electric Utilities: Central|Clearway Energy Inc. Class C Common Stock(CWEN)(6.309B),CWEN
Public Utilities|Electric Utilities: Central|Comp En De Mn Cemig ADS American Depositary Shares(CIG)(9.372B),CIG
Public Utilities|Electric Utilities: Central|Companhia Paranaense de Energia (COPEL) Common Stock(ELP)(3.169B),ELP
Public Utilities|Electric Utilities: Central|DTE Energy Company 2016 Series B 5.375% Junior Subordinated Debentures due 2076(DTJ)(0.000B),DTJ
Public Utilities|Electric Utilities: Central|DTE Energy Company 2016 Series F 6.00% Junior Subordinated Debentures due 2076(DTY)(0.000B),DTY
Public Utilities|Electric Utilities: Central|DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077(DTW)(0.000B),DTW
Public Utilities|Electric Utilities: Central|DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080(DTB)(0.000B),DTB
Public Utilities|Electric Utilities: Central|DTE Energy Company 6.25% Corporate Units(DTP)(0.000B),DTP
Public Utilities|Electric Utilities: Central|DTE Energy Company Common Stock(DTE)(23.227B),DTE
Public Utilities|Electric Utilities: Central|Dominion Energy Inc. 2016 Series A 5.25% Enhanced Junior Subordinated Notes due 2076(DRUA)(0.000B),DRUA
Public Utilities|Electric Utilities: Central|Dominion Energy Inc. 2019 Series A Corporate Units(DCUE)(0.000B),DCUE
Public Utilities|Electric Utilities: Central|Dominion Energy Inc. Common Stock(D)(59.318B),D
Public Utilities|Electric Utilities: Central|Edison International Common Stock(EIX)(21.079B),EIX
Public Utilities|Electric Utilities: Central|Ellomay Capital Ltd Ordinary Shares (Israel)(ELLO)(0.427B),ELLO
Public Utilities|Electric Utilities: Central|Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares(EDN)(0.171B),EDN
Public Utilities|Electric Utilities: Central|Enel Americas S.A. American Depositary Shares(ENIA)(11.869B),ENIA
