id,value
Technology,NA
Technology|Advertising,NA
Technology|Advertising|AirNet Technology Inc. American Depositary Shares(ANTE)(0.114B),ANTE
Technology|Advertising|Criteo S.A. American Depositary Shares(CRTO)(1.937B),CRTO
Technology|Advertising|Groupon Inc. Common Stock(GRPN)(1.040B),GRPN
Technology|Advertising|Interpublic Group of Companies Inc. (The) Common Stock(IPG)(9.677B),IPG
Technology|Advertising|MDC Partners Inc. CL A Subordinate Voting Shares(MDCA)(0.232B),MDCA
Technology|Advertising|Omnicom Group Inc. Common Stock(OMC)(14.352B),OMC
Technology|Advertising|PARTS iD Inc. Class A Common Stock(ID)(0.293B),ID
Technology|Advertising|SRAX Inc. Class A Common Stock(SRAX)(0.090B),SRAX
Technology|Advertising|WPP plc American Depositary Shares(WPP)(14.209B),WPP
Technology|Computer Communications Equipment,NA
Technology|Computer Communications Equipment|A10 Networks Inc. Common Stock(ATEN)(0.702B),ATEN
Technology|Computer Communications Equipment|Allot Ltd. Ordinary Shares(ALLT)(0.546B),ALLT
Technology|Computer Communications Equipment|Arista Networks Inc. Common Stock(ANET)(23.368B),ANET
Technology|Computer Communications Equipment|B.O.S. Better Online Solutions Common Stock(BOSC)(0.014B),BOSC
Technology|Computer Communications Equipment|BIO-key International Inc. Common Stock(BKYI)(0.038B),BKYI
Technology|Computer Communications Equipment|Cisco Systems Inc. Common Stock (DE)(CSCO)(195.810B),CSCO
Technology|Computer Communications Equipment|Digi International Inc. Common Stock(DGII)(0.691B),DGII
Technology|Computer Communications Equipment|Extreme Networks Inc. Common Stock(EXTR)(1.187B),EXTR
Technology|Computer Communications Equipment|F5 Networks Inc. Common Stock(FFIV)(12.270B),FFIV
Technology|Computer Communications Equipment|Intrusion Inc. Common Stock(INTZ)(0.381B),INTZ
Technology|Computer Communications Equipment|Juniper Networks Inc. Common Stock(JNPR)(7.889B),JNPR
Technology|Computer Communications Equipment|Lantronix Inc. Common Stock(LTRX)(0.158B),LTRX
Technology|Computer Communications Equipment|Silicom Ltd Ordinary Shares(SILC)(0.371B),SILC
Technology|Computer Manufacturing,NA
"Technology|Computer Manufacturing|Apple Inc. Common Stock(AAPL)(2,248.826B)",AAPL
Technology|Computer Manufacturing|Dell Technologies Inc. Class C Common Stock(DELL)(59.752B),DELL
Technology|Computer Manufacturing|HP Inc. Common Stock(HPQ)(34.059B),HPQ
Technology|Computer Manufacturing|Huami Corporation American Depositary Shares each representing four Class A Ordinary Shares(HMI)(1.119B),HMI
Technology|Computer Manufacturing|International Business Machines Corporation Common Stock(IBM)(107.577B),IBM
Technology|Computer Manufacturing|Omnicell Inc. Common Stock ($0.001 par value)(OMCL)(5.490B),OMCL
Technology|Computer Manufacturing|One Stop Systems Inc. Common Stock(OSS)(0.121B),OSS
Technology|Computer Manufacturing|Socket Mobile Inc. Common Stock(SCKT)(0.084B),SCKT
Technology|Computer Manufacturing|Super Micro Computer Inc. Common Stock(SMCI)(1.600B),SMCI
Technology|Computer Software: Prepackaged Software,NA
Technology|Computer Software: Prepackaged Software|2U Inc. Common Stock(TWOU)(3.672B),TWOU
Technology|Computer Software: Prepackaged Software|3D Systems Corporation Common Stock(DDD)(5.141B),DDD
Technology|Computer Software: Prepackaged Software|ACI Worldwide Inc. Common Stock(ACIW)(4.980B),ACIW
Technology|Computer Software: Prepackaged Software|ANSYS Inc. Common Stock(ANSS)(33.478B),ANSS
Technology|Computer Software: Prepackaged Software|Absolute Software Corporation Common Stock(ABST)(0.780B),ABST
