id,value
Transportation,NA
Transportation|Aerospace,NA
Transportation|Aerospace|Corporacion America Airports SA Common Shares(CAAP)(0.708B),CAAP
Transportation|Aerospace|Grupo Aeroportuario Del Pacifico S.A. B. de C.V. Grupo Aeroportuario Del Pacifico S.A. de C.V. (each representing 10 Series B shares)(PAC)(5.832B),PAC
Transportation|Aerospace|Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS(OMAB)(2.329B),OMAB
Transportation|Aerospace|Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock(ASR)(5.211B),ASR
Transportation|Air Freight/Delivery Services,NA
Transportation|Air Freight/Delivery Services|Air T Inc. Air T Funding Alpha Income Trust Preferred Securities(AIRTP)(0.000B),AIRTP
Transportation|Air Freight/Delivery Services|Air T Inc. Air T Funding Warrants to Purchase Alpha Income Trust Preferred Expiring 08/30/2021(AIRTW)(0.000B),AIRTW
Transportation|Air Freight/Delivery Services|Air T Inc. Common Stock(AIRT)(0.074B),AIRT
Transportation|Air Freight/Delivery Services|Air Transport Services Group Inc(ATSG)(1.677B),ATSG
Transportation|Air Freight/Delivery Services|Alaska Air Group Inc. Common Stock(ALK)(7.407B),ALK
Transportation|Air Freight/Delivery Services|Allegiant Travel Company Common Stock(ALGT)(3.765B),ALGT
Transportation|Air Freight/Delivery Services|American Airlines Group Inc. Common Stock(AAL)(11.006B),AAL
Transportation|Air Freight/Delivery Services|Azul S.A. American Depositary Shares (each representing three preferred shares)(AZUL)(2.655B),AZUL
Transportation|Air Freight/Delivery Services|China Eastern Airlines Corporation Ltd. Common Stock(CEA)(7.259B),CEA
Transportation|Air Freight/Delivery Services|China Southern Airlines Company Limited Common Stock(ZNH)(9.921B),ZNH
Transportation|Air Freight/Delivery Services|Controladora Vuela Compania de Aviacion S.A.B. de C.V. American Depositary Shares each representing ten (10) Ordinary Participation Certificates(VLRS)(1.372B),VLRS
Transportation|Air Freight/Delivery Services|Copa Holdings S.A. Copa Holdings S.A. Class A Common Stock(CPA)(3.448B),CPA
Transportation|Air Freight/Delivery Services|Delta Air Lines Inc. Common Stock(DAL)(28.321B),DAL
Transportation|Air Freight/Delivery Services|FedEx Corporation Common Stock(FDX)(67.760B),FDX
Transportation|Air Freight/Delivery Services|Gol Linhas Aereas Inteligentes S.A. Sponsored ADR representing 2 Pfd Shares(GOL)(1.526B),GOL
Transportation|Air Freight/Delivery Services|Hawaiian Holdings Inc. Common Stock(HA)(1.140B),HA
Transportation|Air Freight/Delivery Services|JetBlue Airways Corporation Common Stock(JBLU)(5.286B),JBLU
Transportation|Air Freight/Delivery Services|Mesa Air Group Inc. Common Stock(MESA)(0.430B),MESA
Transportation|Air Freight/Delivery Services|Ryanair Holdings plc American Depositary Shares(RYAAY)(23.339B),RYAAY
Transportation|Air Freight/Delivery Services|SkyWest Inc. Common Stock(SKYW)(2.594B),SKYW
Transportation|Air Freight/Delivery Services|Southwest Airlines Company Common Stock(LUV)(30.686B),LUV
Transportation|Air Freight/Delivery Services|Spirit Airlines Inc. Common Stock(SAVE)(3.336B),SAVE
Transportation|Air Freight/Delivery Services|United Airlines Holdings Inc. Common Stock(UAL)(14.021B),UAL
Transportation|Marine Transportation,NA
Transportation|Marine Transportation|Ardmore Shipping Corporation Common Stock(ASC)(0.135B),ASC
Transportation|Marine Transportation|Atlas Corp. Common Shares(ATCO)(3.260B),ATCO
Transportation|Marine Transportation|Capital Product Partners L.P. Common Units(CPLP)(0.184B),CPLP
Transportation|Marine Transportation|Castor Maritime Inc. Common Shares(CTRM)(0.616B),CTRM
Transportation|Marine Transportation|Costamare Inc. Common Stock $0.0001 par value(CMRE)(1.155B),CMRE
Transportation|Marine Transportation|DHT Holdings Inc.(DHT)(0.967B),DHT
Transportation|Marine Transportation|Danaos Corporation Common Stock(DAC)(0.761B),DAC
Transportation|Marine Transportation|Diana Shipping inc. common stock(DSX)(0.249B),DSX
Transportation|Marine Transportation|Dorian LPG Ltd. Common Stock(LPG)(0.664B),LPG
Transportation|Marine Transportation|Eagle Bulk Shipping Inc. Common Stock(EGLE)(0.353B),EGLE
Transportation|Marine Transportation|Eneti Inc. Common Stock(NETI)(0.231B),NETI
Transportation|Marine Transportation|Euronav NV Ordinary Shares(EURN)(1.835B),EURN
Transportation|Marine Transportation|Euroseas Ltd. Common Stock (Marshall Islands)(ESEA)(0.051B),ESEA
Transportation|Marine Transportation|Frontline Ltd. Ordinary Shares(FRO)(1.425B),FRO
Transportation|Marine Transportation|Genco Shipping & Trading Limited Ordinary Shares New (Marshall Islands)(GNK)(0.410B),GNK
Transportation|Marine Transportation|Global Ship Lease Inc New Class A Common Shares(GSL)(0.492B),GSL
Transportation|Marine Transportation|Global Ship Lease Inc. 8.00% Senior Notes due 2024(GSLD)(0.000B),GSLD
Transportation|Marine Transportation|Globus Maritime Limited Common Stock(GLBS)(0.011B),GLBS
Transportation|Marine Transportation|Grindrod Shipping Holdings Ltd. Ordinary Shares(GRIN)(0.106B),GRIN
Transportation|Marine Transportation|Navigator Holdings Ltd. Ordinary Shares (Marshall Islands)(NVGS)(0.558B),NVGS
Transportation|Marine Transportation|Navios Maritime Acquisition Corporation Common stock(NNA)(0.073B),NNA
Transportation|Marine Transportation|Navios Maritime Containers L.P. Common Units(NMCI)(0.214B),NMCI
Transportation|Marine Transportation|Navios Maritime Holdings Inc. Common Stock(NM)(0.108B),NM
Transportation|Marine Transportation|Navios Maritime Partners LP Common Units Representing Limited Partner Interests(NMM)(0.196B),NMM
Transportation|Marine Transportation|Overseas Shipholding Group Inc. Class A Common Stock(OSG)(0.178B),OSG
Transportation|Marine Transportation|Pangaea Logistics Solutions Ltd. Common Shares(PANL)(0.140B),PANL
Transportation|Marine Transportation|Performance Shipping Inc. Common Shares(PSHG)(0.034B),PSHG
Transportation|Marine Transportation|Pyxis Tankers Inc. 7.75% Series A Cumulative Convertible Preferred Shares(PXSAP)(0.000B),PXSAP
Transportation|Marine Transportation|Pyxis Tankers Inc. Common Stock(PXS)(0.039B),PXS
Transportation|Marine Transportation|Pyxis Tankers Inc. Warrant(PXSAW)(0.000B),PXSAW
Transportation|Marine Transportation|SEACOR Holdings Inc. Common Stock(CKH)(0.876B),CKH
Transportation|Marine Transportation|SEACOR Marine Holdings Inc. Common Stock(SMHI)(0.091B),SMHI
Transportation|Marine Transportation|SFL Corporation Ltd(SFL)(0.896B),SFL
Transportation|Marine Transportation|Safe Bulkers Inc Common Stock ($0.001 par value)(SB)(0.284B),SB
Transportation|Marine Transportation|Scorpio Tankers Inc. 7.00% Senior Notes due 2025(SBBA)(0.000B),SBBA
Transportation|Marine Transportation|Scorpio Tankers Inc. Common Shares(STNG)(0.918B),STNG
Transportation|Marine Transportation|Seanergy Maritime Holdings Corp Class A Warrants(SHIPW)(0.000B),SHIPW
Transportation|Marine Transportation|Seanergy Maritime Holdings Corp Class B Warrant(SHIPZ)(0.000B),SHIPZ
Transportation|Marine Transportation|Seanergy Maritime Holdings Corp Common Stock(SHIP)(0.102B),SHIP
Transportation|Marine Transportation|Star Bulk Carriers Corp. 8.30% Senior Notes due 2022(SBLKZ)(0.000B),SBLKZ
Transportation|Marine Transportation|Star Bulk Carriers Corp. Common Shares(SBLK)(1.310B),SBLK
Transportation|Marine Transportation|StealthGas Inc. Common Stock(GASS)(0.118B),GASS
Transportation|Marine Transportation|TOP Ships Inc. Common Stock(TOPS)(0.107B),TOPS
Transportation|Marine Transportation|TORM plc Class A Common Stock(TRMD)(0.630B),TRMD
Transportation|Marine Transportation|Teekay Corporation Common Stock(TK)(0.335B),TK
Transportation|Marine Transportation|Tsakos Energy Navigation Ltd Common Shares(TNP)(0.175B),TNP
Transportation|Marine Transportation|ZIM Integrated Shipping Services Ltd. Ordinary Shares(ZIM)(2.297B),ZIM
Transportation|Oil Refining/Marketing,NA
Transportation|Oil Refining/Marketing|Brinks Company (The) Common Stock(BCO)(3.553B),BCO
Transportation|Oil Refining/Marketing|C.H. Robinson Worldwide Inc. Common Stock(CHRW)(12.404B),CHRW
Transportation|Oil Refining/Marketing|Echo Global Logistics Inc. Common Stock(ECHO)(0.723B),ECHO
Transportation|Oil Refining/Marketing|Expeditors International of Washington Inc. Common Stock(EXPD)(15.948B),EXPD
Transportation|Oil Refining/Marketing|Forward Air Corporation Common Stock(FWRD)(2.337B),FWRD
Transportation|Oil Refining/Marketing|Hub Group Inc. Class A Common Stock(HUBG)(1.855B),HUBG
Transportation|Oil Refining/Marketing|Radiant Logistics Inc. Common Stock(RLGT)(0.347B),RLGT
Transportation|Oil Refining/Marketing|Sino-Global Shipping America Ltd. Common Stock(SINO)(0.114B),SINO
Transportation|Railroads,NA
Transportation|Railroads|CSX Corporation Common Stock(CSX)(68.641B),CSX
Transportation|Railroads|Canadian National Railway Company Common Stock(CNI)(76.727B),CNI
Transportation|Railroads|Canadian Pacific Railway Limited Common Stock(CP)(47.921B),CP
Transportation|Railroads|Kansas City Southern Common Stock(KSU)(18.760B),KSU
Transportation|Railroads|Kansas City Southern Preferred Stock(KSU^)(nan),KSU^
Transportation|Railroads|Norfolk Southern Corporation Common Stock(NSC)(63.409B),NSC
Transportation|Railroads|USD Partners LP Common Units representing limited partner interest(USDP)(0.131B),USDP
Transportation|Railroads|Union Pacific Corporation Common Stock(UNP)(138.695B),UNP
Transportation|Transportation Services,NA
Transportation|Transportation Services|Atlas Air Worldwide Holdings NEW Common Stock(AAWW)(1.570B),AAWW
Transportation|Transportation Services|Bristow Group Inc. Common Stock(VTOL)(0.798B),VTOL
Transportation|Trucking Freight/Courier Services,NA
